Degree0,XCoordinate0,YCoordinate0,ZCoordinate0,Degree1,XCoordinate1,YCoordinate1,ZCoordinate1
32.4,50.23422889,31.8594138,0,32.4,70.15213768,44.49169486,0
32.51,50.3369759,32.06018596,0,32.51,70.06663396,44.62622702,0
32.62,50.27536333,32.15671794,0,32.62,69.98087225,44.76059487,0
32.74,50.2079385,32.2618905,0,32.74,70.34881977,45.20372651,0
32.85,50.47805055,32.57247938,0,32.85,70.41502115,45.43740893,0
32.96,50.41545468,32.66928112,0,32.96,70.32770222,45.57244379,0
33.07,50.51866061,32.87397547,0,33.07,70.24012434,45.70731085,0
33.19,50.44973379,32.97965576,0,33.19,70.14428988,45.8542466,0
33.3,50.38635665,33.07640242,0,33.3,70.05617159,45.98876119,0
33.41,50.32279398,33.17302728,0,33.41,69.96779534,46.12310645,0
33.52,50.25904602,33.26953,0,33.52,70.03239362,46.35871559,0
33.64,50.18929174,33.37466596,0,33.64,70.0878814,46.60674716,0
33.75,50.1251571,33.47091213,0,33.75,69.99831925,46.74115212,0
33.86,49.89635471,33.456745,0,33.86,69.90849936,46.87538499,0
33.97,49.83206311,33.55242891,0,33.97,69.97018982,47.11163201,0
34.09,49.76171756,33.65667044,0,34.09,69.87141623,47.25799961,0
34.2,49.69704258,33.75209562,0,34.2,69.93163376,47.49456039,0
34.31,49.6321846,33.84739653,0,34.31,69.84036828,47.6286639,0
34.42,49.56714387,33.9425728,0,34.42,69.74884565,47.76259203,0
34.54,49.17493371,33.8254228,0,34.54,69.64870987,47.90849486,0
34.65,49.10993599,33.9197217,0,34.65,69.55665062,48.04205471,0
34.76,49.04475744,34.01389571,0,34.76,69.46433525,48.17543767,0
34.87,48.82217539,33.99845864,0,34.87,69.37176411,48.30864323,0
34.99,50.02549115,34.99214534,0,34.99,69.2704861,48.45375551,0
35.1,49.95825305,35.08807422,0,35.1,69.17738125,48.58658858,0
35.21,49.890831,35.18387389,0,35.21,69.08402168,48.71924276,0
35.32,49.6726055,35.17289103,0,35.32,68.99040774,48.85171754,0
35.44,49.59886813,35.27679521,0,35.44,68.88799372,48.99603032,0
35.55,49.53108461,35.37190492,0,35.55,68.79384901,49.12812844,0
35.66,49.31267799,35.35901284,0,35.66,68.699451,49.26004567,0
35.77,49.24473723,35.45357323,0,35.77,68.60480002,49.39178151,0
35.89,49.17041324,35.55658113,0,35.89,68.50125632,49.5352859,0
36,48.66338923,35.33234422,0,36,68.40607755,49.66664092,0
36.11,48.59550084,35.42565875,0,36.11,68.31064691,49.79781306,0
36.22,48.24032623,35.30869947,0,36.22,68.21496473,49.92880184,0
36.34,48.16630771,35.40960512,0,36.34,68.11029772,50.071489,0
36.45,47.95787484,35.39833669,0,36.45,68.01409076,50.20209283,0
36.56,47.74925145,35.38609406,0,36.56,67.91763336,50.33251181,0
36.67,47.6812616,35.47765436,0,36.67,67.82092588,50.46274546,0
36.79,47.60689063,35.57738933,0,36.79,67.56889994,50.49531755,0
36.9,47.53853396,35.66867611,0,36.9,67.47188069,50.62488172,0
37.01,47.33204853,35.65590903,0,37.01,66.93524223,50.42327519,0
37.12,47.12538497,35.64217668,0,37.12,66.8383624,50.55162357,0
37.24,47.05067081,35.74074765,0,37.24,66.73239463,50.69142768,0
37.35,46.98200171,35.8309668,0,37.35,66.63500062,50.81938632,0
37.46,46.91315961,35.92105402,0,37.46,66.53736124,50.94715785,0
37.57,46.28621544,35.58210589,0,37.57,66.43947687,51.07474177,0
37.69,46.07471864,35.57321514,0,37.69,66.33241491,51.21370974,0
37.8,45.43252309,35.21674572,0,37.8,66.23401943,51.34089991,0
37.91,45.36486246,35.30386079,0,37.91,66.13538007,51.46790103,0
38.02,45.2970348,35.39084587,0,38.02,66.03649719,51.59471264,0
38.14,45.22285077,35.48559006,0,38.14,66.07291639,51.84627649,0
38.25,45.15467465,35.5723023,0,38.25,65.97330756,51.97296755,0
38.36,45.08633226,35.65888356,0,38.36,66.01727346,52.21321294,0
38.47,45.29173868,35.96282907,0,38.47,66.06024759,52.45357015,0
38.59,45.21635731,36.05756091,0,38.59,66.2370084,52.82037534,0
38.7,45.14708365,36.14425963,0,38.7,66.13553008,52.94737948,0
38.81,45.07764376,36.23082527,0,38.81,66.31993186,53.30415841,0
38.92,43.47941924,35.0838059,0,38.92,66.35990477,53.54620782,0
39.04,43.40588193,35.17474588,0,39.04,66.67679449,54.03275312,0
39.15,43.62201027,35.48878066,0,39.15,67.00169972,54.5093775,0
39.26,43.55383098,35.57242106,0,39.26,67.03954899,54.75428937,0
39.37,43.62621217,35.77131456,0,39.37,67.50517091,55.35086781,0
39.49,43.69126269,35.97786678,0,39.49,67.67594083,55.72821277,0
39.6,43.62214476,36.06163917,0,39.6,68.70948014,56.80088619,0
39.71,43.55286622,36.14527877,0,39.71,68.88748727,57.17092003,0
39.82,43.76531426,36.46364309,0,39.82,69.2118315,57.66474122,0
39.94,43.68888787,36.55517852,0,39.94,70.09325271,58.64812521,0
40.05,43.75845695,36.75637058,0,40.05,71.40573263,59.97961887,0
40.16,44.10831952,37.19484035,0,40.16,72.14613781,60.83804839,0
40.27,44.0368656,37.27941078,0,40.27,72.75148879,61.58777649,0
40.39,43.95873093,37.37151288,0,40.39,74.06675208,62.96784553,0
40.5,43.88693827,37.45579594,0,40.5,75.52060326,64.45389942,0
40.61,43.814984,37.53994109,0,40.61,77.5503252,66.44381382,0
40.72,44.0179423,37.86054352,0,40.72,78.57837471,67.58652993,0
40.84,44.07632155,38.07157136,0,40.84,79.88248689,68.99967359,0
40.95,43.8656835,38.03684807,0,40.95,81.62871653,70.78196078,0
41.06,43.7926143,38.12095136,0,41.06,82.9549651,72.21131327,0
41.17,43.71938385,38.20491429,0,41.17,83.11240263,72.62916216,0
41.29,43.6393125,38.29634976,0,41.29,82.96018359,72.80298486,0
41.4,43.4287547,38.25933348,0,41.4,88.88123669,78.3015055,0
41.51,43.35525938,38.34259795,0,41.51,90.03918399,79.62900652,0
41.62,43.1446455,38.30412812,0,41.62,90.17815236,80.06081545,0
41.74,43.06436772,38.39436025,0,41.74,91.46455398,81.54590956,0
41.85,42.99061397,38.47692525,0,41.85,91.75225362,82.11896221,0
41.96,42.78218841,38.43849228,0,41.96,95.78527019,86.06014572,0
42.07,42.70835049,38.52051572,0,42.07,96.20063577,86.76753048,0
42.19,42.3582934,38.36589172,0,42.19,97.47052121,88.28361963,0
42.3,42.15168768,38.32625591,0,42.3,97.30093541,88.47049208,0
42.41,42.0780663,38.40706971,0,42.41,99.01064332,90.37270518,0
42.52,41.46373316,37.99244003,0,42.52,99.271965,90.96103725,0
42.64,41.11718505,37.83354455,0,42.64,99.80242206,91.83214698,0
42.75,40.91173204,37.78972763,0,42.75,99.91447566,92.28992842,0
42.86,40.70616751,37.74486182,0,42.86,100.0252059,92.74853921,0
